title,url,source,summary,author,published_at,keyword,relevance_score,tags,scraped_at
"Watershed of Artificial Intelligence: Human Intelligence, Machine Intelligence, and Biological Intelligence",http://arxiv.org/abs/2104.13155v2,arXiv,"This article reviews the ""Once learning"" mechanism that was proposed 23 years ago and the subsequent successes of ""One-shot learning"" in image classification and ""You Only Look Once - YOLO"" in objective detection. Analyzing the current development of Artificial Intelligence (AI), the proposal is that AI should be clearly divided into the following categories: Artificial Human Intelligence (AHI), A","Li Weigang, Liriam Enamoto, Denise Leyi Li",2021-04-27 13:03,artificial intelligence,1.0,cs.AI,2026-06-07 23:14
Games for Artificial Intelligence Research: A Review and Perspectives,http://arxiv.org/abs/2304.13269v4,arXiv,"Games have been the perfect test-beds for artificial intelligence research for the characteristics that widely exist in real-world scenarios. Learning and optimisation, decision making in dynamic and uncertain environments, game theory, planning and scheduling, design and education are common research areas shared between games and real-world problems. Numerous open-source games or game-based envi","Chengpeng Hu, Yunlong Zhao, Ziqi Wang",2023-04-26 03:42,artificial intelligence,1.0,cs.AI,2026-06-07 23:14
Artificial Intelligence and Economic Theories,http://arxiv.org/abs/1703.06597v1,arXiv,"The advent of artificial intelligence has changed many disciplines such as engineering, social science and economics. Artificial intelligence is a computational technique which is inspired by natural intelligence such as the swarming of birds, the working of the brain and the pathfinding of the ants. These techniques have impact on economic theories. This book studies the impact of artificial inte","Tshilidzi Marwala, Evan Hurwitz",2017-03-20 04:47,artificial intelligence,1.0,cs.AI,2026-06-07 23:14
"The Artificial Scientist: Logicist, Emergentist, and Universalist Approaches to Artificial General Intelligence",http://arxiv.org/abs/2110.01831v1,arXiv,"We attempt to define what is necessary to construct an Artificial Scientist, explore and evaluate several approaches to artificial general intelligence (AGI) which may facilitate this, conclude that a unified or hybrid approach is necessary and explore two theories that satisfy this requirement to some degree.","Michael Timothy Bennett, Yoshihiro Maruyama",2021-10-05 05:58,artificial intelligence,0.9,cs.AI,2026-06-07 23:14
"Compression, The Fermi Paradox and Artificial Super-Intelligence",http://arxiv.org/abs/2110.01835v1,arXiv,"The following briefly discusses possible difficulties in communication with and control of an AGI (artificial general intelligence), building upon an explanation of The Fermi Paradox and preceding work on symbol emergence and artificial general intelligence. The latter suggests that to infer what someone means, an agent constructs a rationale for the observed behaviour of others. Communication the",Michael Timothy Bennett,2021-10-05 06:17,artificial intelligence,0.879,cs.AI,2026-06-07 23:14
"A Review on Explainable Artificial Intelligence for Healthcare: Why, How, and When?",http://arxiv.org/abs/2304.04780v1,arXiv,"Artificial intelligence (AI) models are increasingly finding applications in the field of medicine. Concerns have been raised about the explainability of the decisions that are made by these AI models. In this article, we give a systematic analysis of explainable artificial intelligence (XAI), with a primary focus on models that are currently being used in the field of healthcare. The literature s","Subrato Bharati, M. Rubaiyat Hossain Mondal, Prajoy Podder",2023-04-10 17:40,artificial intelligence,0.844,"cs.LG, cs.AI",2026-06-07 23:14
Artificial Intelligence Framework for Simulating Clinical Decision-Making: A Markov Decision Process Approach,http://arxiv.org/abs/1301.2158v1,arXiv,"In the modern healthcare system, rapidly expanding costs/complexity, the growing myriad of treatment options, and exploding information streams that often do not effectively reach the front lines hinder the ability to choose optimal treatment decisions over time. The goal in this paper is to develop a general purpose (non-disease-specific) computational/artificial intelligence (AI) framework to ad","Casey C. Bennett, Kris Hauser",2013-01-10 15:29,artificial intelligence,0.787,"cs.AI, stat.ML",2026-06-07 23:14
Study on the Helpfulness of Explainable Artificial Intelligence,http://arxiv.org/abs/2410.11896v1,arXiv,"Explainable Artificial Intelligence (XAI) is essential for building advanced machine learning-powered applications, especially in critical domains such as medical diagnostics or autonomous driving. Legal, business, and ethical requirements motivate using effective XAI, but the increasing number of different methods makes it challenging to pick the right ones. Further, as explanations are highly co","Tobias Labarta, Elizaveta Kulicheva, Ronja Froelian",2024-10-14 14:03,artificial intelligence,0.763,"cs.HC, cs.AI",2026-06-07 23:14
Intelligent behavior depends on the ecological niche: Scaling up AI to human-like intelligence in socio-cultural environments,http://arxiv.org/abs/2103.06769v1,arXiv,"This paper outlines a perspective on the future of AI, discussing directions for machines models of human-like intelligence. We explain how developmental and evolutionary theories of human cognition should further inform artificial intelligence. We emphasize the role of ecological niches in sculpting intelligent behavior, and in particular that human intelligence was fundamentally shaped to adapt ","Manfred Eppe, Pierre-Yves Oudeyer",2021-03-11 16:24,artificial intelligence,0.75,"cs.AI, cs.CL, cs.LG",2026-06-07 23:14
John Carmack: I’m going to work on artificial general intelligence,https://www.facebook.com/100006735798590/posts/2547632585471243/,Hacker News,,jbredeche,2019-11-13 23:17,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
Artificial intelligence is not conscious – Ted Chiang,https://www.theatlantic.com/philosophy/2026/06/no-artificial-intelligence-is-not-conscious/687378/,Hacker News,"<a href=""https:&#x2F;&#x2F;archive.is&#x2F;bcpZl"" rel=""nofollow"">https:&#x2F;&#x2F;archive.is&#x2F;bcpZl</a>",lordleft,2026-06-03 17:51,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
U.S. government limits exports of artificial intelligence software,https://www.reuters.com/article/us-usa-artificial-intelligence/u-s-government-limits-exports-of-artificial-intelligence-software-idUSKBN1Z21PT,Hacker News,,ckcheng,2020-01-04 08:02,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
Artificial intelligence is losing hype,https://www.economist.com/finance-and-economics/2024/08/19/artificial-intelligence-is-losing-hype,Hacker News,,bx376,2024-08-20 01:13,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
"M.I.T. Plans College for Artificial Intelligence, Backed by $1B",https://www.nytimes.com/2018/10/15/technology/mit-college-artificial-intelligence.html,Hacker News,,superfx,2018-10-15 13:26,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
Artificial Intelligence Lecture Videos,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-034-artificial-intelligence-fall-2010/lecture-videos/,Hacker News,,BucketSort,2016-10-08 17:27,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
Carnegie Mellon Launches Undergraduate Degree in Artificial Intelligence,https://www.cs.cmu.edu/news/carnegie-mellon-launches-undergraduate-degree-artificial-intelligence,Hacker News,,e15ctr0n,2018-05-10 16:28,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
Use of artificial intelligence for image analysis in breast cancer screening,https://www.bmj.com/content/374/bmj.n1872,Hacker News,,cratermoon,2021-09-02 17:26,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
Show HN: I'm a 14 year-old dev who has programmed an artificial intelligence bot,http://acuman.us/,Hacker News,,seanlevan,2015-04-16 05:21,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
Where will artificial general intelligence come from?,https://docs.google.com/presentation/d/119VW6ueBGLQXsw-jGMboGP2-WuOnyMAOYLgd44SL6xM/edit#slide=id.p,Hacker News,,nshr,2017-09-02 12:24,artificial intelligence,0.5,"tech, hacker-news",2026-06-07 23:14
"Film industry cannot fight rise of artificial intelligence, says Demi Moore",https://www.theguardian.com/film/2026/may/12/film-world-must-not-resist-artificial-intelligence-demi-moore,The Guardian,"US actor urges her peers to work with the technology, but stresses it can never replace ‘true art’ created by humans","Nadia Khomami Arts and culture correspondent, in Cannes",2026-05-12 17:20,artificial intelligence,0.5,film,2026-06-07 23:14
Elon Musk’s xAI sues Colorado over new rules for artificial intelligence,https://www.theguardian.com/technology/2026/apr/09/elon-musk-xai-colorado-lawsuit,The Guardian,"Company claims law regulating AI systems, set to go into effect in June, infringes on its first amendment rights",Dara Kerr,2026-04-10 00:52,artificial intelligence,0.5,technology,2026-06-07 23:14
"Artificial intelligence will cost jobs, admits Liz Kendall",https://www.theguardian.com/technology/2026/jan/28/artificial-intelligence-will-cost-jobs-admits-liz-kendall,The Guardian,UK technology secretary also announced plans to train up to 10 million Britons in AI skills to help workforce adapt,Robert Booth UK technology editor,2026-01-28 18:52,artificial intelligence,0.5,technology,2026-06-07 23:14
US companies accused of ‘AI washing’ in citing artificial intelligence for job losses,https://www.theguardian.com/us-news/2026/feb/08/ai-washing-job-losses-artificial-intelligence,The Guardian,"While AI is having an impact on the workplace, experts suggest tariffs, overhiring during the pandemic and simply maximising profits may be bigger factors",Eric Berger,2026-02-08 16:00,artificial intelligence,0.5,us news,2026-06-07 23:14
I wrote a novel using AI. Writers must accept artificial intelligence – but we are as valuable as ever | Stephen Marche,https://www.theguardian.com/commentisfree/2026/apr/02/artificial-intelligence-writers-powerful-language,The Guardian,Mastery of banal style is losing its usefulness – but language is more powerful than ever. It’s up to the writer to do what machines can’t,Stephen Marche,2026-04-02 12:00,artificial intelligence,0.5,opinion,2026-06-07 23:14
‘Deepfakes spreading and more AI companions’: seven takeaways from the latest artificial intelligence safety report,https://www.theguardian.com/technology/2026/feb/03/deepfakes-ai-companions-artificial-intelligence-safety-report,The Guardian,"Annual review highlights growing capabilities of AI models, while examining issues from cyber-attacks to job disruption",Dan Milmo Global technology editor,2026-02-03 05:00,artificial intelligence,0.5,technology,2026-06-07 23:14
Meeting the pope’s call to put humanity first in a world of artificial intelligence | Letter,https://www.theguardian.com/technology/2026/may/28/meeting-the-popes-call-to-put-humanity-first-in-a-world-of-artificial-intelligence,The Guardian,Letter:<strong> Dr Susan Oman </strong>on a campaign that is designed to raise public awareness of AI,,2026-05-28 17:05,artificial intelligence,0.45,technology,2026-06-07 23:14
Under attack from artificial intelligence | Letters,https://www.theguardian.com/music/2025/jun/11/under-attack-from-artificial-intelligence,The Guardian,"<strong>Letters: </strong>Abba songwriter Björn Ulvaeus’s position on artists’ copyright is clear, writes <strong>Simon McEnery</strong>",,2025-06-11 16:59,artificial intelligence,0.45,music,2026-06-07 23:14
Preparing students for a world shaped by artificial intelligence | Letters,https://www.theguardian.com/technology/2025/sep/24/preparing-students-for-a-world-shaped-by-artificial-intelligence,The Guardian,<strong>Letters: </strong>Readers respond to a letter which said that AI is undermining learning at universities,,2025-09-24 17:25,artificial intelligence,0.45,technology,2026-06-07 23:14
Creative Problem Solving in Artificially Intelligent Agents: A Survey and Framework,http://arxiv.org/abs/2204.10358v1,arXiv,"Creative Problem Solving (CPS) is a sub-area within Artificial Intelligence (AI) that focuses on methods for solving off-nominal, or anomalous problems in autonomous systems. Despite many advancements in planning and learning, resolving novel problems or adapting existing knowledge to a new context, especially in cases where the environment may change in unpredictable ways post deployment, remains","Evana Gizzi, Lakshmi Nair, Sonia Chernova",2022-04-21 18:31,artificial intelligence,0.376,cs.AI,2026-06-07 23:14
Miles Davis’s superior musical intelligence | Letters,https://www.theguardian.com/music/2026/may/31/miles-daviss-superior-musical-intelligence,The Guardian,Letters: <strong>Dr Richard Carter</strong> and <strong>Meirion Bowen</strong> respond to an editorial which argues that the musician still shapes modern music 100 years after his birth,,2026-05-31 16:36,artificial intelligence,0.25,music,2026-06-07 23:14
